Ranking;EmpresaID;Empresa;EAN;Produto;Laboratório;Categoria;Curva;Ação;Preço_Atual;Preço_Recomendado;Variação_Pct;Margem_Atual;Margem_Recomendada;Preço_Concorrente;Estoque;Ganho_Estimado;Score_IA;Motivo;Data_Hora
1;1;ECONOMIZE - MAYCON;7896331703443;RESFENOL C/20 CAP;HERTZ;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.8118783790175094;0.0;23.0;973.0;8370.74;74.71;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
2;1;ECONOMIZE - MAYCON;7891000062661;LEITE NINHO FASES 1 800 GRS;NESTLE;PRINCIPAL > LEITE;Não informado;Revisar margem;0.0;0.0;0.0;0.2154621083162352;0.0;37.49;89.0;13264.15;74.58;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
3;1;ECONOMIZE - MAYCON;7896523200576;CIMEGRIPE C/ 20 CAPS;CIMED;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.6278223596220045;0.0;19.0;322.0;6311.45;74.49;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
4;1;ECONOMIZE - MAYCON;7898650427796;*NEUROPLUS ACETILCISTEINA 120ML;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7734666666666666;0.0;75.0;106.0;8767.87;74.46;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
5;1;ECONOMIZE - MAYCON;7896311708314;INTEGRAL CREATINA PURA 300GR;INTEGRALMEDICA;PRINCIPAL > SUPLEMENTOS;Não informado;Revisar margem;0.0;0.0;0.0;0.5875244679686074;0.0;69.99;125.0;6593.59;74.41;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
6;1;ECONOMIZE - MAYCON;7898656150254;*POMA 10 150GR EXTRA FORTE;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7457117062894975;0.0;66.46;168.0;6342.84;74.41;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
7;1;ECONOMIZE - MAYCON;7898650420568;*RINOVIM CABELO PELE UNHA 60 CAPS;FORHTHEALTH NUTRICIONAL;PRINCIPAL > PRÓPRIOS;Não informado;Revisar margem;0.0;0.0;0.0;0.7273388489862715;0.0;109.99;129.0;4387.84;73.94;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
8;1;ECONOMIZE - MAYCON;7891317001926;CETOPROFENO 150MG C/10 CPR(EURO);EUROFARMA;PRINCIPAL > GENÉRICOS;Não informado;Revisar margem;0.0;0.0;0.0;0.77980642946427;0.0;35.0;79.0;5357.0;73.91;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
9;1;ECONOMIZE - MAYCON;7896714219318;DEXCLORF-HISTAMIN XPE 100ML;NEO QUIMICA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.7012635752671412;0.0;22.0;184.0;3910.45;73.79;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
10;1;ECONOMIZE - MAYCON;7896714200804;TORSILAX C/30 CPR;NEO QUIMICA;PRINCIPAL > SIMILARES;Não informado;Revisar margem;0.0;0.0;0.0;0.613034869573936;0.0;7.0;97.0;4372.9;73.78;Margem abaixo do limite mínimo configurado.;12/08/2026 21:35:33
